,Head x,Head y,Neck x,Neck y,Torso x,Torso y,Tailhead x,Tailhead y,warped Head x,warped Head y,warped Neck x,warped Neck y,warped Torso x,warped Torso y,warped Tailhead x,warped Tailhead y,Elapsed Time,decision,Head displacement,Neck displacement,Torso displacement,Tailhead displacement,Head velocity,Neck velocity,Torso velocity,Tailhead velocity,Head acceleration,Neck acceleration,Torso acceleration,Tailhead acceleration
5858,115.47665405273438,125.02238464355469,108.64161682128906,124.51969909667969,99.2041244506836,123.64360046386719,87.51473999023438,120.92252349853516,296.52055562297403,109.53867364905055,296.0235759401728,115.38819044896016,294.95083408031707,124.33585366725083,292.55118287514114,134.59161491629862,0.0,,74.9667803653186,79.41556819779825,89.55289929938758,99.62321709426075,2249.003410959558,2382.4670459339477,2686.5869789816275,2988.6965128278225,-62580.62064508205,-66400.95880619262,-75885.22055386282,-84215.44612104612
5859,120.31163787841797,127.2602767944336,115.57312774658203,124.9742202758789,104.28251647949219,123.86912536621094,95.07618713378906,122.81983184814453,298.13333666229585,104.35082336471883,296.0851465214933,109.75180165037334,295.20659934593266,119.10611658091575,293.8300709969641,128.67781871393512,0.03333333333333333,,5.432757426338547,5.636725079806459,5.235987572873328,6.0504991819872815,162.98272279015643,169.1017523941938,157.07962718619984,181.51497545961846,-35.47921098856875,-100.15698508238529,-7.707418750449619,-397.3231441859727
5860,127.173828125,125.13893127441406,120.46737670898438,124.9290771484375,111.09537506103516,124.15225219726562,99.64646911621094,123.57005310058594,296.76450052187596,99.13408475701641,295.99749114598114,104.22705743417042,295.397612814593,113.88218385063419,294.73237482115655,123.14184053695274,0.06666666666666667,,5.393336080795693,5.5254395408260315,5.227423774261718,5.609029021780645,161.8000824238708,165.76318622478095,156.82271322785152,168.27087065341937,-138.14616941278928,-35.738320430481,-86.74429555300009,-231.3728481175042
5861,132.21214294433594,124.58143615722656,127.37971496582031,124.5323715209961,116.19588470458984,124.1446304321289,106.76448822021484,123.96306610107422,295.8087503865662,93.98214643866025,295.7630426211542,98.74633934539797,295.3944460860568,108.75114360419312,295.14045537494644,117.80547299840087,0.1,,5.239840337003705,5.485730295903275,5.131041223647273,5.351948079427863,157.19521011011116,164.57190887709825,153.9312367094182,160.5584423828359,-125.36294982465989,-116.56032180923575,-71.13992376233057,-502.7226759655889
5862,136.8095245361328,124.13680267333984,131.94537353515625,124.06169891357422,120.77381896972656,123.9257583618164,111.60707092285156,123.91835021972656,295.474579947063,88.89255689162621,295.5654973977808,93.39376463691829,295.22036854529034,103.7021467411746,295.1302238595179,113.01211658972093,0.13333333333333333,,5.100548170531861,5.356218827226346,5.05199686391135,4.793367328354987,153.01644511595583,160.6865648167904,151.5599059173405,143.8010198506496,-55.36015965979374,-167.41472035663918,-53.29503441262375,-427.6502218340377
5863,144.03836059570312,124.5309066772461,139.18923950195312,124.19195556640625,127.63408660888672,123.71007537841797,116.04951477050781,123.46592712402344,295.76627098049903,83.86196954625781,295.6370063276611,88.22405670832885,295.070731036278,98.71160946227518,294.92376945873355,108.69885432012933,0.16666666666666666,,5.039036882020979,5.170202471274525,4.992780159008435,4.318200415206055,151.17110646062937,155.10607413823575,149.78340477025304,129.54601245618167,-100.83780142232939,-405.0261068788194,-141.76996996391637,-102.57996739117388
5864,148.45921325683594,125.18376159667969,143.78424072265625,124.70278930664062,132.38819885253906,123.8125991821289,120.67716979980469,123.26410675048828,296.67491788249527,79.01948677815417,296.07837501907636,83.52456405432795,295.14499652310957,93.87692185339516,294.80684016598957,104.49625799996987,0.2,,4.926994880440613,4.720173463631393,4.835257970159638,4.204222673660307,147.8098464132184,141.60520390894177,145.05773910478916,126.12668020980921,61.10913990900997,-359.18927876997344,-124.08338183759298,218.6737316605
5865,152.7654266357422,127.26985168457031,148.05653381347656,124.94257354736328,136.3682098388672,124.08699798583984,124.61810302734375,123.51261901855469,298.42117640174075,74.33979164878878,296.86432567684983,79.27556836508865,295.4591202601423,89.19004911838644,294.8985380941188,100.05000998648926,0.23333333333333334,,4.994893924783957,4.321074264998089,4.697387545895647,4.447193486616418,149.84681774351873,129.63222794994266,140.9216263768694,133.41580459849254,-349.862122759379,-165.75671506856452,-102.91294623268641,321.0445801407383
5866,159.35401916503906,127.7894287109375,152.6729278564453,127.31590270996094,143.0931854248047,124.685791015625,131.3826446533203,124.01638793945312,299.12273959519456,69.78737440610878,297.81504493663886,75.24939454447815,295.85253402145867,84.62392607184556,295.0615019670562,95.24886522145803,0.26666666666666666,,4.606158232829092,4.136900137144128,4.583039827859328,4.803909686772794,138.18474698487276,124.10700411432384,137.49119483577985,144.11729060318382,-258.590042674592,-43.817775969688455,-229.39238078389423,-298.01579897895977
5867,163.46702575683594,127.72322082519531,156.8130645751953,127.31183624267578,147.34954833984375,124.70003509521484,135.83792114257812,123.79478454589844,299.0512179981278,65.4691306962075,298.4976296339537,71.21856714225882,296.0454858801679,80.30006975909811,295.08573876955006,90.77614986707037,0.3,,4.318835963190656,4.08821371940003,4.3281594047661125,4.472781021240617,129.5650788957197,122.6464115820009,129.84478214298338,134.1834306372185,-185.99780250839103,165.35650271643306,-216.14053842564118,-432.36105029052055
