,Head x,Head y,Neck x,Neck y,Torso x,Torso y,Tailhead x,Tailhead y,warped Head x,warped Head y,warped Neck x,warped Neck y,warped Torso x,warped Torso y,warped Tailhead x,warped Tailhead y,Elapsed Time,decision
6447,196.3538818,144.6888275,196.8508759,139.9366913,196.249527,131.4429169,191.7998352,123.300148,316.7674744,35.89298146,311.5178653,35.10230092,302.9081981,35.28531143,294.7377708,38.9150658,0.733333333,Acc
6448,192.88237,147.6032562,195.8818512,140.9295502,196.2333069,132.0735474,192.3584137,123.5653076,318.5469083,38.59526971,312.8079657,36.0394995,303.3532863,35.29526747,294.9981974,38.57842528,0.766666667,Acc
6449,192.3886871,147.9815979,195.4720001,143.3564301,196.2520447,132.6484375,192.8069153,123.9732056,319.4424799,39.74854065,314.3087603,36.52658624,304.3384839,35.34479365,295.618281,37.87433249,0.8,Acc
6450,191.8275909,148.2732544,195.0307617,143.7985992,196.1768036,135.1954651,195.4947205,124.8186188,319.7672117,40.25138178,315.2380064,36.95297598,306.2572088,35.49563331,296.6242129,35.88549099,0.833333333,Acc
6451,191.1231384,148.5547791,192.5558319,144.2779541,195.9981842,135.7649384,195.8817902,127.1669083,320.5232462,40.65148593,315.7124706,39.25319544,307.2013318,35.70706817,297.8092651,35.3516404,0.866666667,Acc
6452,191.1746674,150.9995728,192.4098206,144.605545,195.72995,136.1382446,195.7580261,127.6601944,322.07622,40.81751527,316.1638296,39.40259029,307.5629226,35.98321955,298.7746693,35.57887657,0.9,Acc
6453,191.089035,151.4512939,192.21138,145.116684,195.3893585,136.6266937,195.2735138,128.1029816,322.9487081,40.95656708,316.9990556,39.60835629,307.9508656,36.24448047,299.4027134,35.9714534,0.933333333,Acc
6454,191.0469055,151.6004333,192.2732391,147.1738892,195.4174957,136.8820953,195.3385468,128.3545532,323.1021161,41.4147005,318.1265929,39.64450573,308.6613486,36.33569716,299.7557186,35.99271897,0.966666667,Acc
6455,189.0854034,151.4177094,192.1732788,147.2144623,195.3610077,138.8665161,195.3670197,128.6423645,323.0258427,41.96868613,318.6842988,39.73836477,309.6212098,36.39048401,299.9264695,35.95579917,1,Acc
6456,191.0531616,151.5976563,192.2519379,147.1938629,195.3804169,136.9920502,195.3772583,128.5585632,323.0952089,41.35727353,318.7879113,39.66500562,308.6874729,36.30283674,299.9849969,35.94702317,1.033333333,Acc
6457,191.3037872,151.750351,192.5430756,147.3443298,195.6168213,136.9141998,195.3767853,128.5570679,323.186568,40.81975389,318.7900641,39.4037758,308.629526,36.18783078,300.005606,35.94854003,1.066666667,Acc
6458,191.2757874,151.5940857,192.4580231,147.2463226,195.5097046,138.8720398,195.4521484,128.7771149,323.1574952,40.7241151,318.7663165,39.47763782,310.0187526,36.22098592,300.0120917,35.8667936,1.1,Acc
6459,191.219223,151.666214,192.46492,147.3378906,195.735321,138.9614258,195.7708435,128.8368073,323.1253921,40.75272849,318.7518826,39.47542216,310.0769175,36.05953198,299.9758654,35.61115568,1.133333333,Acc
6460,191.3593597,151.5405731,192.7141113,147.2213745,196.0358276,136.8531494,195.9546051,128.5144043,323.0543047,40.74001497,318.7155842,39.24074437,308.6286176,35.79002209,299.9238571,35.40795829,1.166666667,Acc
6461,191.2262115,151.5192261,192.5596619,147.2380829,195.9947662,136.9866333,196.1652222,128.6957855,323.0357013,40.77667604,318.7206927,39.38367051,308.1902988,35.69044988,299.9763507,35.2163428,1.2,Acc
6462,191.2407837,151.6027069,192.6498413,147.3088989,196.2221069,136.931778,196.4016266,128.6218567,323.1451686,40.81459526,318.8025625,39.30387339,308.6430807,35.60420725,300.2472157,35.01545528,1.233333333,Acc
6463,191.1752167,151.9200287,192.5627136,147.5272217,196.1774292,138.973526,196.4804993,128.8249207,323.3320551,40.84565179,318.9420577,39.3939512,310.0459128,35.64008576,300.8326885,34.94016316,1.266666667,Acc
6464,191.2157135,151.8384399,192.6078033,147.5131378,196.2298584,139.0608215,196.6098022,130.9450531,323.4533563,40.83703964,319.095285,39.35180925,310.5899081,35.64321723,301.6230246,34.90961552,1.3,Acc
6465,191.2856293,152.190094,192.6616211,147.8881226,196.2572632,139.3949738,196.7134705,131.1167145,323.6344733,40.83075431,319.2790515,39.31922037,310.7936532,35.63572128,302.2420769,34.83302086,1.333333333,Acc
6466,191.1552887,152.1764679,192.5563049,147.8849792,196.2431793,139.4416656,196.7711945,131.2539673,323.6627715,40.80922846,319.3359815,39.41607116,310.8683491,35.62466488,302.5729299,34.79001093,1.366666667,Acc
6467,191.4635468,152.0139771,192.8511047,147.7910156,196.3388519,139.4607086,196.7529449,131.3022156,323.521136,40.6321683,319.2604296,39.14029605,310.8391285,35.53766702,302.6850013,34.78863335,1.4,Acc
6468,191.6525726,151.8165741,194.9547577,147.6176147,196.5098877,139.261322,196.8438873,131.2249756,323.3676531,40.46428899,319.1595502,37.19574043,310.7244605,35.42891304,302.6863293,34.7272372,1.433333333,Acc
6469,191.6287842,151.8499908,194.9487,147.6921387,196.4499969,139.3562012,196.8492126,131.2671356,323.3259928,40.42817876,319.1283133,37.20453658,310.7387517,35.41328281,302.6629149,34.70066086,1.466666667,Acc
6470,191.612381,151.8106079,194.9650421,147.6321564,196.5586243,139.3230896,196.9284363,131.3043671,323.3323488,40.48360484,319.125899,37.18689427,310.746112,35.35006964,302.64247,34.64853033,1.5,Acc
6471,191.430954,151.8900757,193.000351,147.6864929,196.6561432,139.353363,196.9156647,131.2670135,323.38597,40.61745547,319.1500771,38.998206,310.7638771,35.25667174,302.6223861,34.64764959,1.533333333,Acc
6472,123.6844025,125.1394958,116.710083,127.4417114,107.2714767,127.8718872,96.26541138,127.6382065,296.9923377,101.8057751,298.7721803,108.731669,299.1374596,117.1122635,298.9161249,127.1773922,0,
6473,127.6505508,127.4341431,120.8116989,127.6569672,111.2582321,127.8514709,100.0142441,127.5250854,298.2679176,98.26597793,299.0954539,104.3472198,299.304581,113.3383776,298.9379517,123.7476163,0.033333333,
6474,131.7964783,128.0958252,125.0666885,128.1069183,115.4020386,128.1634521,103.9672546,127.9078674,299.1988298,94.47833722,299.4034862,99.80861137,299.5546375,109.4350588,299.2773172,120.0407633,0.066666667,
6475,136.5911255,128.4775543,131.9207153,128.4503784,120.2092361,128.616394,108.6068878,128.4262085,299.7124878,89.87556465,299.6372204,95.07828489,299.7855495,105.3366607,299.6477713,115.5322224,0.1,
6476,143.0361481,128.4004517,136.4291077,128.3888855,124.6562805,128.5090179,114.9828339,128.2416687,299.9220924,84.36674824,299.7553651,90.31873303,299.8281312,101.0775081,299.5458676,110.3331366,0.133333333,
6477,147.4528809,128.460434,140.7771759,128.3900146,128.9408722,128.3534698,119.311142,127.7334518,299.994061,79.97371316,299.778262,85.54701764,299.7150271,96.51249417,299.133749,105.9052691,0.166666667,
6478,152.0840912,128.7769012,147.4672241,128.4411469,135.6075897,128.1889343,123.8384171,127.5183487,299.9879415,75.92721357,299.7211735,80.74692208,299.5417075,91.59027924,298.7984971,101.790892,0.2,
6479,156.4260712,128.7966461,151.884201,128.3696136,140.090744,127.962883,128.4100037,127.1282959,299.8553537,71.5127731,299.5774913,76.02903625,299.3616797,86.75469113,298.5863397,97.11328891,0.233333333,
6480,163.2558899,128.236908,156.7165833,128.1346893,144.9429932,128.0030975,135.3286438,127.2067719,299.6187981,65.79622056,299.3700266,71.35415466,299.1663587,81.90919051,298.5029676,91.56442831,0.266666667,
6481,167.8599701,127.7972641,161.1963501,127.6476898,151.4817963,127.5526581,140.0484772,126.8778229,299.4470621,61.23934478,299.1897642,66.63317797,298.9024401,76.97960858,297.8278849,86.8836105,0.3,
6482,172.4545135,127.9658432,167.7169647,127.6446915,155.7003174,127.3874664,144.1660461,124.7543793,299.477988,56.74853673,299.1582123,61.87064747,298.7048162,72.23369188,296.3747562,82.84831702,0.333333333,
6483,179.0407715,128.4941711,172.4526978,127.8780975,160.3867035,127.1656494,148.8797302,124.5587311,299.6604674,51.26011222,299.2958588,57.25237043,298.7341092,67.3531574,295.8116976,78.25523821,0.366666667,
6484,183.1728058,128.9465942,176.7989044,128.4522095,167.1933136,127.7144623,155.3869324,124.8559036,299.8331553,47.14298284,299.5117147,52.86127475,299.0718195,62.26090163,296.5064101,72.77599107,0.4,
6485,187.0855408,128.8983917,180.8242188,128.7261047,172.077179,128.277298,160.7790222,127.1220398,299.9504854,43.52654123,299.6860284,48.69453875,299.4679991,57.67801463,298.119494,67.96206733,0.433333333,T-entry
6486,191.43013,128.5693207,187.0411682,128.6139984,175.8650208,128.5097351,164.2909698,127.4145279,300.2460287,39.59454882,299.8449442,44.82926027,299.5982092,53.98728498,298.7581536,64.36064835,0.466666667,T-entry
6487,195.4909821,128.9542542,188.883194,128.5323944,179.3636017,128.0289001,168.0227509,126.9918213,301.1074398,35.81976187,300.2131468,41.45302439,299.3942864,51.0917624,297.9844532,61.01744921,0.5,T-entry
6488,199.1031799,131.9081421,192.4652863,129.0838776,180.7407074,127.7435684,171.4766541,124.5599518,302.6857658,32.85418532,301.0617449,38.49815467,299.1453594,48.59370934,296.2594244,57.66542265,0.533333333,T-entry
6489,200.5320587,132.8138123,195.9740295,131.5731201,184.4987488,127.8044357,175.30513,124.1753235,304.7559015,31.12862203,302.4576178,35.95357697,299.1492352,45.80651276,295.4435945,54.71792088,0.566666667,T-entry
6490,203.4054413,135.9266357,196.9456787,132.4301605,187.6844177,128.3376465,176.4390717,124.397995,307.2078466,29.18184691,304.2093044,33.85310984,299.5879719,42.86782716,295.5046619,52.532612,0.6,T-entry
6491,204.236969,139.2320862,200.2434998,135.393631,191.6021271,128.4510193,180.7384186,124.4711456,309.7301991,27.89600538,306.2128708,32.18122878,300.6234668,40.3252163,296.3040711,49.54121487,0.633333333,Acc
6492,207.079422,139.9004211,200.9334259,136.3259125,192.3695374,131.7386627,183.4128113,127.2700577,312.1061772,25.87957898,308.2972885,31.09191352,302.2422788,38.67063059,298.1485645,47.13620098,0.666666667,Acc
6493,207.1333923,143.3575745,203.1297913,139.3816528,193.1959534,132.3097992,184.511795,127.7481766,314.4880444,25.91154069,310.4249761,30.68939297,303.6307083,37.44125044,299.0534566,45.44541995,0.7,Acc
6494,204.2204132,144.9194183,200.9958038,140.7497559,195.7741241,132.903183,187.7639313,127.658699,316.7885931,28.55384419,312.4112559,30.9780464,304.83732,36.32416585,299.0095709,43.35448691,0.733333333,Acc
6495,200.9577637,148.1680756,200.1711273,143.474411,196.005722,135.1189423,188.5866394,127.3602524,318.9260545,31.48244259,314.141371,31.60793575,306.0574549,35.689416,298.7980319,41.65703732,0.766666667,Acc
6496,200.1238861,148.767807,199.6721802,144.0506592,196.1630402,135.6506958,191.5722504,127.6161957,320.7405833,32.55675931,315.5210039,32.26933776,306.8951619,35.4618387,298.9087118,39.84275197,0.8,Acc
6497,199.8991852,151.3867645,199.6056366,144.6307831,196.2330475,135.9979248,191.7811584,127.8690796,322.3173426,32.81324316,316.7570884,32.87009631,307.3984011,35.39969918,299.1439217,39.10533615,0.833333333,Acc
6498,199.6190643,152.0516357,199.4742584,147.0496979,196.342453,136.4573517,192.1818237,128.185318,323.6582229,33.03124871,318.0576846,33.46914781,307.943664,35.37282886,299.4233861,38.79925936,0.866666667,Acc
6499,199.0351715,152.5105438,199.1823883,147.5828094,196.4842987,136.8924866,192.624176,128.4391785,324.9753278,34.00789971,319.3915794,34.09746255,308.9065355,35.39363434,300.194317,38.45184286,0.9,Acc
6500,196.0206757,155.5129547,196.717804,148.737793,196.4393463,139.5582886,193.0937042,130.9026184,326.3834356,36.26952053,320.8162079,34.59789189,310.3291228,35.5215373,301.9052784,38.26700593,0.933333333,Acc
